08/25/2018 10:51:28 AM CompletedProcess(args='python DeepThoughtHelper.py', returncode=0)
09/07/2018 09:28:34 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:28:38 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:28:42 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:28:46 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:28:51 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:28:55 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:28:58 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:01 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:06 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:09 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:13 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:16 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:19 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:24 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:27 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:30 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:34 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:38 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:41 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:45 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:48 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:52 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:57 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:29:59 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:01 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:06 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:08 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:11 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:14 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:16 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:19 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:22 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:27 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:32 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:36 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:38 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:42 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:45 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:48 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:52 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:54 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:56 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:30:59 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:03 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:06 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:10 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:13 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:18 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:20 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:24 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:26 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:29 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:34 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:36 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:39 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:43 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:46 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:51 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:54 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:31:57 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:32:04 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:32:07 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:32:10 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:32:13 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:32:18 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:32:21 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:32:26 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:32:31 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:32:34 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:32:37 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:32:40 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
